Year,Month,Country,Deaths,Expenditure,Total ICU Beds
2020,1,Australia,0,10.66,2077
2020,1,Canada,0,13.024,4678
2020,1,Costa Rica,0,7.825,318
2020,1,Czech Republic,0,9.214,4684
2020,1,France,0,12.072,19073
2020,1,Germany,0,12.69,24697
2020,1,Greece,0,9.524,2138
2020,1,Israel,0,7.73,940
2020,1,Japan,0,11.209,17578
2020,1,South Korea,0,8.355,8570
2020,1,Latvia,0,7.285,242
2020,1,New Zealand,0,9.732,173
2020,1,Switzerland,0,12.004,901
2020,1,Türkiye,0,4.616,32663
2020,1,United States of America,6,18.582,70405
2020,2,Australia,0,10.66,2077
2020,2,Belgium,0,11.27,2001
2020,2,Canada,0,13.024,4678
2020,2,Costa Rica,0,7.825,318
2020,2,Czech Republic,0,9.214,4684
2020,2,France,1,12.072,19073
2020,2,Germany,1,12.69,24697
2020,2,Greece,0,9.524,2138
2020,2,Israel,0,7.73,940
2020,2,Italy,8,9.625,6874
2020,2,Japan,1,11.209,17578
2020,2,South Korea,3,8.355,8570
2020,2,Latvia,0,7.285,242
2020,2,New Zealand,0,9.732,173
2020,2,Portugal,0,10.548,1199
2020,2,Spain,1,10.732,5901
2020,2,Sweden,0,11.333,
2020,2,Switzerland,0,12.004,901
2020,2,Türkiye,0,4.616,32663
2020,2,United States of America,16,18.582,70405
2020,3,Australia,9,10.66,2077
2020,3,Austria,32,11.316,1998
2020,3,Belgium,195,11.27,2001
2020,3,Canada,11,13.024,4678
2020,3,Costa Rica,2,7.825,318
2020,3,Czech Republic,1,9.214,4684
2020,3,Estonia,0,7.589,514
2020,3,France,713,12.072,19073
2020,3,Germany,575,12.69,24697
2020,3,Greece,17,9.524,2138
2020,3,Hungary,7,7.285,1313
2020,3,Ireland,15,7.063,295
2020,3,Israel,1,7.73,940
2020,3,Italy,7958,9.625,6874
2020,3,Japan,39,11.209,17578
2020,3,South Korea,101,8.355,8570
2020,3,Latvia,0,7.285,242
2020,3,Lithuania,3,7.474,621
2020,3,Luxembourg,15,5.765,132
2020,3,Netherlands,335,11.224,1215
2020,3,New Zealand,0,9.732,173
2020,3,Poland,7,6.497,1199
2020,3,Portugal,26,10.548,1199
2020,3,Spain,2913,10.732,5901
2020,3,Sweden,49,11.333,
2020,3,Switzerland,109,12.004,901
2020,3,Türkiye,21,4.616,32663
2020,3,United States of America,695,18.582,70405
2020,4,Australia,64,10.66,2077
2020,4,Austria,497,11.316,1998
2020,4,Belgium,6009,11.27,2001
2020,4,Canada,1295,13.024,4678
2020,4,Costa Rica,2,7.825,318
2020,4,Czech Republic,188,9.214,4684
2020,4,Estonia,112,7.589,514
2020,4,France,11378,12.072,19073
2020,4,Germany,6836,12.69,24697
2020,4,Greece,96,9.524,2138
2020,4,Hungary,197,7.285,1313
2020,4,Ireland,918,7.063,295
2020,4,Israel,165,7.73,940
2020,4,Italy,18443,9.625,6874
2020,4,Japan,121,11.209,17578
2020,4,South Korea,130,8.355,8570
2020,4,Latvia,8,7.285,242
2020,4,Lithuania,46,7.474,621
2020,4,Luxembourg,64,5.765,132
2020,4,Netherlands,3908,11.224,1215
2020,4,New Zealand,11,9.732,173
2020,4,Poland,351,6.497,
2020,4,Portugal,793,10.548,1199
2020,4,Spain,19846,10.732,5901
2020,4,Sweden,1962,11.333,
2020,4,Switzerland,1219,12.004,901
2020,4,Türkiye,1869,4.616,32663
2020,4,United States of America,46935,18.582,70405
2020,5,Australia,30,10.66,2077
2020,5,Austria,176,11.316,1998
2020,5,Belgium,2727,11.27,2001
2020,5,Canada,4240,13.024,4678
2020,5,Costa Rica,4,7.825,318
2020,5,Czech Republic,108,9.214,4684
2020,5,Estonia,19,7.589,514
2020,5,France,5386,12.072,19073
2020,5,Germany,1538,12.69,24697
2020,5,Greece,53,9.524,2138
2020,5,Hungary,260,7.285,1313
2020,5,Ireland,635,7.063,295
2020,5,Israel,107,7.73,940
2020,5,Italy,7104,9.625,6874
2020,5,Japan,583,11.209,17578
2020,5,South Korea,28,8.355,8570
2020,5,Latvia,12,7.285,242
2020,5,Lithuania,21,7.474,621
2020,5,Luxembourg,4,5.765,132
2020,5,Netherlands,1600,11.224,1215
2020,5,New Zealand,10,9.732,173
2020,5,Poland,566,6.497,
2020,5,Portugal,476,10.548,1199
2020,5,Spain,5618,10.732,5901
2020,5,Sweden,1978,11.333,
2020,5,Switzerland,373,12.004,901
2020,5,Türkiye,2206,4.616,32663
2020,5,United States of America,49262,18.582,70405
2020,6,Australia,4,10.66,2077
2020,6,Austria,62,11.316,1998
2020,6,Belgium,558,11.27,2001
2020,6,Canada,2475,13.024,4678
2020,6,Costa Rica,4,7.825,318
2020,6,Czech Republic,34,9.214,4684
2020,6,Estonia,6,7.589,514
2020,6,France,1638,12.072,19073
2020,6,Germany,255,12.69,24697
2020,6,Greece,18,9.524,2138
2020,6,Hungary,99,7.285,1313
2020,6,Ireland,122,7.063,295
2020,6,Israel,32,7.73,940
2020,6,Italy,1850,9.625,6874
2020,6,Japan,181,11.209,17578
2020,6,South Korea,15,8.355,8570
2020,6,Latvia,8,7.285,242
2020,6,Lithuania,8,7.474,621
2020,6,Luxembourg,0,5.765,132
2020,6,Netherlands,302,11.224,1215
2020,6,New Zealand,1,9.732,173
2020,6,Poland,322,6.497,
2020,6,Portugal,218,10.548,1199
2020,6,Spain,1190,10.732,5901
2020,6,Sweden,1112,11.333,
2020,6,Switzerland,28,12.004,901
2020,6,Türkiye,696,4.616,32663
2020,6,United States of America,22718,18.582,70405
2020,7,Australia,6,10.66,2077
2020,7,Austria,50,11.316,1998
2020,7,Belgium,115,11.27,2001
2020,7,Canada,702,13.024,4678
2020,7,Costa Rica,14,7.825,318
2020,7,Czech Republic,24,9.214,4684
2020,7,Estonia,0,7.589,514
2020,7,France,525,12.072,19073
2020,7,Germany,113,12.69,24697
2020,7,Greece,10,9.524,2138
2020,7,Hungary,32,7.285,1313
2020,7,Ireland,34,7.063,295
2020,7,Israel,70,7.73,940
2020,7,Italy,685,9.625,6874
2020,7,Japan,57,11.209,17578
2020,7,South Korea,12,8.355,8570
2020,7,Latvia,3,7.285,242
2020,7,Lithuania,1,7.474,621
2020,7,Luxembourg,4,5.765,132
2020,7,Netherlands,55,11.224,1215
2020,7,New Zealand,0,9.732,173
2020,7,Poland,325,6.497,
2020,7,Portugal,153,10.548,1199
2020,7,Spain,247,10.732,5901
2020,7,Sweden,520,11.333,
2020,7,Switzerland,8,12.004,901
2020,7,Türkiye,552,4.616,32663
2020,7,United States of America,18041,18.582,70405
2020,8,Australia,262,10.66,2077
2020,8,Austria,47,11.316,1998
2020,8,Belgium,86,11.27,2001
2020,8,Canada,209,13.024,4678
2020,8,Costa Rica,192,7.825,318
2020,8,Czech Republic,38,9.214,4684
2020,8,Estonia,0,7.589,514
2020,8,France,365,12.072,19073
2020,8,Germany,135,12.69,24697
2020,8,Greece,20,9.524,2138
2020,8,Hungary,10,7.285,1313
2020,8,Ireland,13,7.063,295
2020,8,Israel,286,7.73,940
2020,8,Italy,266,9.625,6874
2020,8,Japan,58,11.209,17578
2020,8,South Korea,16,8.355,8570
2020,8,Latvia,1,7.285,242
2020,8,Lithuania,3,7.474,621
2020,8,Luxembourg,8,5.765,132
2020,8,Netherlands,28,11.224,1215
2020,8,New Zealand,0,9.732,173
2020,8,Poland,236,6.497,
2020,8,Portugal,98,10.548,1199
2020,8,Spain,309,10.732,5901
2020,8,Sweden,123,11.333,
2020,8,Switzerland,19,12.004,901
2020,8,Türkiye,485,4.616,32663
2020,8,United States of America,31626,18.582,70405
2020,9,Australia,407,10.66,2077
2020,9,Austria,45,11.316,1998
2020,9,Belgium,157,11.27,2001
2020,9,Canada,172,13.024,4678
2020,9,Costa Rica,251,7.825,318
2020,9,Czech Republic,50,9.214,4684
2020,9,Estonia,1,7.589,514
2020,9,France,474,12.072,19073
2020,9,Germany,115,12.69,24697
2020,9,Greece,77,9.524,2138
2020,9,Hungary,22,7.285,1313
2020,9,Ireland,7,7.063,295
2020,9,Israel,371,7.73,940
2020,9,Italy,221,9.625,6874
2020,9,Japan,317,11.209,17578
2020,9,South Korea,29,8.355,8570
2020,9,Latvia,3,7.285,242
2020,9,Lithuania,5,7.474,621
2020,9,Luxembourg,0,5.765,132
2020,9,Netherlands,94,11.224,1215
2020,9,New Zealand,2,9.732,173
2020,9,Poland,313,6.497,
2020,9,Portugal,85,10.548,1199
2020,9,Spain,1416,10.732,5901
2020,9,Sweden,57,11.333,
2020,9,Switzerland,24,12.004,901
2020,9,Türkiye,791,4.616,32663
2020,9,United States of America,24435,18.582,70405
2020,10,Australia,124,10.66,2077
2020,10,Austria,113,11.316,1998
2020,10,Belgium,165,11.27,2001
2020,10,Canada,266,13.024,4678
2020,10,Costa Rica,461,7.825,318
2020,10,Czech Republic,330,9.214,4684
2020,10,Estonia,3,7.589,514
2020,10,France,1884,12.072,19073
2020,10,Germany,381,12.69,24697
2020,10,Greece,123,9.524,2138
2020,10,Hungary,231,7.285,1313
2020,10,Ireland,45,7.063,295
2020,10,Israel,689,7.73,940
2020,10,Italy,527,9.625,6874
2020,10,Japan,240,11.209,17578
2020,10,South Korea,87,8.355,8570
2020,10,Latvia,4,7.285,242
2020,10,Lithuania,28,7.474,621
2020,10,Luxembourg,4,5.765,132
2020,10,Netherlands,276,11.224,1215
2020,10,New Zealand,1,9.732,173
2020,10,Poland,509,6.497,
2020,10,Portugal,175,10.548,1199
2020,10,Spain,3334,10.732,5901
2020,10,Sweden,53,11.333,
2020,10,Switzerland,59,12.004,901
2020,10,Türkiye,1764,4.616,32663
2020,10,United States of America,17459,18.582,70405
2020,11,Australia,8,10.66,2077
2020,11,Austria,523,11.316,1998
2020,11,Belgium,1943,11.27,2001
2020,11,Canada,690,13.024,4678
2020,11,Costa Rica,441,7.825,318
2020,11,Czech Republic,3055,9.214,4684
2020,11,Estonia,6,7.589,514
2020,11,France,6654,12.072,19073
2020,11,Germany,3347,12.69,24697
2020,11,Greece,235,9.524,2138
2020,11,Hungary,1149,7.285,1313
2020,11,Ireland,126,7.063,295
2020,11,Israel,848,7.73,940
2020,11,Italy,4315,9.625,6874
2020,11,Japan,169,11.209,17578
2020,11,South Korea,45,8.355,8570
2020,11,Latvia,41,7.285,242
2020,11,Lithuania,157,7.474,621
2020,11,Luxembourg,38,5.765,132
2020,11,Netherlands,1324,11.224,1215
2020,11,New Zealand,0,9.732,173
2020,11,Poland,3154,6.497,
2020,11,Portugal,577,10.548,1199
2020,11,Spain,5182,10.732,5901
2020,11,Sweden,163,11.333,
2020,11,Switzerland,480,12.004,901
2020,11,Türkiye,1868,4.616,32663
2020,11,United States of America,23058,18.582,70405
2020,12,Australia,8,10.66,2077
2020,12,Austria,6250,11.316,1998
2020,12,Belgium,7793,11.27,2001
2020,12,Canada,5572,13.024,4678
2020,12,Costa Rica,822,7.825,318
2020,12,Czech Republic,8633,9.214,4684
2020,12,Estonia,176,7.589,514
2020,12,France,37810,12.072,19073
2020,12,Germany,39447,12.69,24697
2020,12,Greece,4353,9.524,2138
2020,12,Hungary,8555,7.285,1313
2020,12,Ireland,413,7.063,295
2020,12,Israel,864,7.73,940
2020,12,Italy,39538,9.625,6874
2020,12,Japan,1782,11.209,17578
2020,12,South Korea,496,8.355,8570
2020,12,Latvia,648,7.285,242
2020,12,Lithuania,2251,7.474,621
2020,12,Luxembourg,158,5.765,132
2020,12,Netherlands,4283,11.224,1215
2020,12,New Zealand,0,9.732,173
2020,12,Poland,23396,6.497,
2020,12,Portugal,4624,10.548,1199
2020,12,Spain,15195,10.732,5901
2020,12,Sweden,4068,11.333,
2020,12,Switzerland,5437,12.004,901
2020,12,Türkiye,11043,4.616,32663
2020,12,United States of America,158567,18.582,70405
2021,1,Australia,1,10.425,2144
2021,1,Austria,1655,12.152,2002
2021,1,Belgium,1394,11.044,1992
2021,1,Canada,4030,12.419,4891
2021,1,Costa Rica,411,7.529,405
2021,1,Czech Republic,4413,9.489,4780
2021,1,Estonia,171,7.545,546
2021,1,France,13474,12.292,18835
2021,1,Germany,18064,12.902,24341
2021,1,Greece,823,9.185,2180
2021,1,Hungary,2613,7.382,1641
2021,1,Ireland,1390,6.596,305
2021,1,Israel,1332,7.653,961
2021,1,Italy,12662,9.346,6845
2021,1,Japan,2106,11.19,18069
2021,1,South Korea,458,8.957,8861
2021,1,Latvia,635,9.11,426
2021,1,Lithuania,685,7.76,645
2021,1,Luxembourg,42,5.661,132
2021,1,Netherlands,2143,11.125,1151
2021,1,New Zealand,0,10.224,186
2021,1,Poland,8115,6.439,
2021,1,Portugal,5566,11.124,1059
2021,1,Spain,11128,10.309,9083
2021,1,Sweden,2144,11.102,512
2021,1,Switzerland,1409,12.005,857
2021,1,Türkiye,4570,4.561,33323
2021,1,United States of America,95868,17.299,70358
2021,2,Australia,1,10.425,2144
2021,2,Austria,993,12.152,2002
2021,2,Belgium,956,11.044,1992
2021,2,Canada,2076,12.419,4891
2021,2,Costa Rica,196,7.529,405
2021,2,Czech Republic,4167,9.489,4780
2021,2,Estonia,173,7.545,546
2021,2,France,10692,12.292,18835
2021,2,Germany,6653,12.902,24341
2021,2,Greece,727,9.185,2180
2021,2,Hungary,2314,7.382,1641
2021,2,Ireland,893,6.596,305
2021,2,Israel,978,7.653,961
2021,2,Italy,8867,9.346,6845
2021,2,Japan,2206,11.19,18069
2021,2,South Korea,183,8.957,8861
2021,2,Latvia,405,9.11,426
2021,2,Lithuania,314,7.76,645
2021,2,Luxembourg,69,5.661,132
2021,2,Netherlands,1485,11.125,1151
2021,2,New Zealand,1,10.224,186
2021,2,Poland,6628,6.439,
2021,2,Portugal,3555,11.124,1059
2021,2,Spain,8781,10.309,9083
2021,2,Sweden,792,11.102,512
2021,2,Switzerland,463,12.005,857
2021,2,Türkiye,2638,4.561,33323
2021,2,United States of America,50130,17.299,70358
2021,3,Australia,1,10.425,2144
2021,3,Austria,866,12.152,2002
2021,3,Belgium,708,11.044,1992
2021,3,Canada,891,12.419,4891
2021,3,Costa Rica,131,7.529,405
2021,3,Czech Republic,5593,9.489,4780
2021,3,Estonia,276,7.545,546
2021,3,France,7664,12.292,18835
2021,3,Germany,4956,12.902,24341
2021,3,Greece,1459,9.185,2180
2021,3,Hungary,5608,7.382,1641
2021,3,Ireland,236,6.596,305
2021,3,Israel,425,7.653,961
2021,3,Italy,10716,9.346,6845
2021,3,Japan,1171,11.19,18069
2021,3,South Korea,119,8.957,8861
2021,3,Latvia,249,9.11,426
2021,3,Lithuania,247,7.76,645
2021,3,Luxembourg,90,5.661,132
2021,3,Netherlands,753,11.125,1151
2021,3,New Zealand,0,10.224,186
2021,3,Poland,8154,6.439,
2021,3,Portugal,486,11.124,1059
2021,3,Spain,2769,10.309,9083
2021,3,Sweden,523,11.102,512
2021,3,Switzerland,259,12.005,857
2021,3,Türkiye,2420,4.561,33323
2021,3,United States of America,21853,17.299,70358
2021,4,Australia,3,10.425,2144
2021,4,Austria,967,12.152,2002
2021,4,Belgium,1077,11.044,1992
2021,4,Canada,1026,12.419,4891
2021,4,Costa Rica,205,7.529,405
2021,4,Czech Republic,2823,9.489,4780
2021,4,Estonia,198,7.545,546
2021,4,France,8225,12.292,18835
2021,4,Germany,6421,12.902,24341
2021,4,Greece,2112,9.185,2180
2021,4,Hungary,5610,7.382,1641
2021,4,Ireland,115,6.596,305
2021,4,Israel,207,7.653,961
2021,4,Italy,10876,9.346,6845
2021,4,Japan,882,11.19,18069
2021,4,South Korea,91,8.957,8861
2021,4,Latvia,247,9.11,426
2021,4,Lithuania,290,7.76,645
2021,4,Luxembourg,31,5.661,132
2021,4,Netherlands,576,11.125,1151
2021,4,New Zealand,0,10.224,186
2021,4,Poland,13588,6.439,
2021,4,Portugal,122,11.124,1059
2021,4,Spain,2199,10.309,9083
2021,4,Sweden,547,11.102,512
2021,4,Switzerland,234,12.005,857
2021,4,Türkiye,7088,4.561,33323
2021,4,United States of America,17614,17.299,70358
2021,5,Australia,0,10.425,2144
2021,5,Austria,529,12.152,2002
2021,5,Belgium,778,11.044,1992
2021,5,Canada,1267,12.419,4891
2021,5,Costa Rica,629,7.529,405
2021,5,Czech Republic,879,9.489,4780
2021,5,Estonia,92,7.545,546
2021,5,France,5736,12.292,18835
2021,5,Germany,3441,12.902,24341
2021,5,Greece,1709,9.185,2180
2021,5,Hungary,1762,7.382,1641
2021,5,Ireland,47,6.596,305
2021,5,Israel,44,7.653,961
2021,5,Italy,5330,9.346,6845
2021,5,Japan,2399,11.19,18069
2021,5,South Korea,121,8.957,8861
2021,5,Latvia,248,9.11,426
2021,5,Lithuania,250,7.76,645
2021,5,Luxembourg,11,5.661,132
2021,5,Netherlands,451,11.125,1151
2021,5,New Zealand,0,10.224,186
2021,5,Poland,7568,6.439,
2021,5,Portugal,52,11.124,1059
2021,5,Spain,1527,10.309,9083
2021,5,Sweden,403,11.102,512
2021,5,Switzerland,177,12.005,857
2021,5,Türkiye,8060,4.561,33323
2021,5,United States of America,15136,17.299,70358
2021,6,Australia,0,10.425,2144
2021,6,Austria,190,12.152,2002
2021,6,Belgium,273,11.044,1992
2021,6,Canada,845,12.419,4891
2021,6,Costa Rica,708,7.529,405
2021,6,Czech Republic,138,9.489,4780
2021,6,Estonia,28,7.545,546
2021,6,France,2104,12.292,18835
2021,6,Germany,516,12.902,24341
2021,6,Greece,754,9.185,2180
2021,6,Hungary,287,7.382,1641
2021,6,Ireland,24,6.596,305
2021,6,Israel,16,7.653,961
2021,6,Italy,1528,9.346,6845
2021,6,Japan,2111,11.19,18069
2021,6,South Korea,70,8.957,8861
2021,6,Latvia,147,9.11,426
2021,6,Lithuania,103,7.76,645
2021,6,Luxembourg,1,5.661,132
2021,6,Netherlands,143,11.125,1151
2021,6,New Zealand,0,10.224,186
2021,6,Poland,1916,6.439,
2021,6,Portugal,51,11.124,1059
2021,6,Spain,675,10.309,9083
2021,6,Sweden,125,11.102,512
2021,6,Switzerland,75,12.005,857
2021,6,Türkiye,3051,4.561,33323
2021,6,United States of America,8968,17.299,70358
2021,7,Australia,7,10.425,2144
2021,7,Austria,69,12.152,2002
2021,7,Belgium,60,11.044,1992
2021,7,Canada,458,12.419,4891
2021,7,Costa Rica,401,7.529,405
2021,7,Czech Republic,24,9.489,4780
2021,7,Estonia,3,7.545,546
2021,7,France,721,12.292,18835
2021,7,Germany,110,12.902,24341
2021,7,Greece,289,9.185,2180
2021,7,Hungary,50,7.382,1641
2021,7,Ireland,17,6.596,305
2021,7,Israel,18,7.653,961
2021,7,Italy,394,9.346,6845
2021,7,Japan,625,11.19,18069
2021,7,South Korea,54,8.957,8861
2021,7,Latvia,51,9.11,426
2021,7,Lithuania,17,7.76,645
2021,7,Luxembourg,2,5.661,132
2021,7,Netherlands,40,11.125,1151
2021,7,New Zealand,0,10.224,186
2021,7,Poland,393,6.439,
2021,7,Portugal,151,11.124,1059
2021,7,Spain,453,10.309,9083
2021,7,Sweden,22,11.102,512
2021,7,Switzerland,16,12.005,857
2021,7,Türkiye,1373,4.561,33323
2021,7,United States of America,6837,17.299,70358
2021,8,Australia,55,10.425,2144
2021,8,Austria,66,12.152,2002
2021,8,Belgium,77,11.044,1992
2021,8,Canada,203,12.419,4891
2021,8,Costa Rica,337,7.529,405
2021,8,Czech Republic,16,9.489,4780
2021,8,Estonia,7,7.545,546
2021,8,France,1251,12.292,18835
2021,8,Germany,345,12.902,24341
2021,8,Greece,392,9.185,2180
2021,8,Hungary,18,7.382,1641
2021,8,Ireland,47,6.596,305
2021,8,Israel,239,7.653,961
2021,8,Italy,555,9.346,6845
2021,8,Japan,360,11.19,18069
2021,8,South Korea,109,8.957,8861
2021,8,Latvia,14,9.11,426
2021,8,Lithuania,105,7.76,645
2021,8,Luxembourg,6,5.661,132
2021,8,Netherlands,157,11.125,1151
2021,8,New Zealand,0,10.224,186
2021,8,Poland,92,6.439,
2021,8,Portugal,357,11.124,1059
2021,8,Spain,2466,10.309,9083
2021,8,Sweden,21,11.102,512
2021,8,Switzerland,32,12.005,857
2021,8,Türkiye,2410,4.561,33323
2021,8,United States of America,22824,17.299,70358
2021,9,Australia,150,10.425,2144
2021,9,Austria,142,12.152,2002
2021,9,Belgium,161,11.044,1992
2021,9,Canada,470,12.419,4891
2021,9,Costa Rica,543,7.529,405
2021,9,Czech Republic,28,9.489,4780
2021,9,Estonia,34,7.545,546
2021,9,France,2870,12.292,18835
2021,9,Germany,1456,12.902,24341
2021,9,Greece,973,9.185,2180
2021,9,Hungary,67,7.382,1641
2021,9,Ireland,140,6.596,305
2021,9,Israel,735,7.653,961
2021,9,Italy,1509,9.346,6845
2021,9,Japan,1389,11.19,18069
2021,9,South Korea,193,8.957,8861
2021,9,Latvia,65,9.11,426
2021,9,Lithuania,288,7.76,645
2021,9,Luxembourg,5,5.661,132
2021,9,Netherlands,163,11.125,1151
2021,9,New Zealand,1,10.224,186
2021,9,Poland,124,6.439,
2021,9,Portugal,289,11.124,1059
2021,9,Spain,2358,10.309,9083
2021,9,Sweden,105,11.102,512
2021,9,Switzerland,167,12.005,857
2021,9,Türkiye,6524,4.561,33323
2021,9,United States of America,57411,17.299,70358
2021,10,Australia,401,10.425,2144
2021,10,Austria,312,12.152,2002
2021,10,Belgium,211,11.044,1992
2021,10,Canada,1006,12.419,4891
2021,10,Costa Rica,858,7.529,405
2021,10,Czech Republic,70,9.489,4780
2021,10,Estonia,86,7.545,546
2021,10,France,1468,12.292,18835
2021,10,Germany,1651,12.902,24341
2021,10,Greece,941,9.185,2180
2021,10,Hungary,219,7.382,1641
2021,10,Ireland,177,6.596,305
2021,10,Israel,519,7.653,961
2021,10,Italy,1271,9.346,6845
2021,10,Japan,1144,11.19,18069
2021,10,South Korea,223,8.957,8861
2021,10,Latvia,230,9.11,426
2021,10,Lithuania,578,7.76,645
2021,10,Luxembourg,7,5.661,132
2021,10,Netherlands,117,11.125,1151
2021,10,New Zealand,1,10.224,186
2021,10,Poland,443,6.439,
2021,10,Portugal,182,11.124,1059
2021,10,Spain,969,10.309,9083
2021,10,Sweden,182,11.102,512
2021,10,Switzerland,156,12.005,857
2021,10,Türkiye,6394,4.561,33323
2021,10,United States of America,53678,17.299,70358
2021,11,Australia,422,10.425,2144
2021,11,Austria,567,12.152,2002
2021,11,Belgium,501,11.044,1992
2021,11,Canada,943,12.419,4891
2021,11,Costa Rica,522,7.529,405
2021,11,Czech Republic,617,9.489,4780
2021,11,Estonia,140,7.545,546
2021,11,France,851,12.292,18835
2021,11,Germany,4578,12.902,24341
2021,11,Greece,1180,9.185,2180
2021,11,Hungary,1372,7.382,1641
2021,11,Ireland,249,6.596,305
2021,11,Israel,196,7.653,961
2021,11,Italy,1057,9.346,6845
2021,11,Japan,369,11.19,18069
2021,11,South Korea,397,8.957,8861
2021,11,Latvia,865,9.11,426
2021,11,Lithuania,1091,7.76,645
2021,11,Luxembourg,21,5.661,132
2021,11,Netherlands,447,11.125,1151
2021,11,New Zealand,4,10.224,186
2021,11,Poland,1893,6.439,
2021,11,Portugal,159,11.124,1059
2021,11,Spain,454,10.309,9083
2021,11,Sweden,118,11.102,512
2021,11,Switzerland,138,12.005,857
2021,11,Türkiye,5946,4.561,33323
2021,11,United States of America,34136,17.299,70358
2021,12,Australia,517,10.425,2144
2021,12,Austria,2677,12.152,2002
2021,12,Belgium,2036,11.044,1992
2021,12,Canada,1177,12.419,4891
2021,12,Costa Rica,223,7.529,405
2021,12,Czech Republic,5258,9.489,4780
2021,12,Estonia,320,7.545,546
2021,12,France,6190,12.292,18835
2021,12,Germany,17777,12.902,24341
2021,12,Greece,4647,9.185,2180
2021,12,Hungary,8155,7.382,1641
2021,12,Ireland,475,6.596,305
2021,12,Israel,120,7.653,961
2021,12,Italy,5900,9.346,6845
2021,12,Japan,85,11.19,18069
2021,12,South Korea,2750,8.957,8861
2021,12,Latvia,1003,9.11,426
2021,12,Lithuania,1618,7.76,645
2021,12,Luxembourg,60,5.661,132
2021,12,Netherlands,2412,11.125,1151
2021,12,New Zealand,19,10.224,186
2021,12,Poland,19881,6.439,
2021,12,Portugal,807,11.124,1059
2021,12,Spain,2976,10.309,9083
2021,12,Sweden,306,11.102,512
2021,12,Switzerland,1081,12.005,857
2021,12,Türkiye,10637,4.561,33323
2021,12,United States of America,73377,17.299,70358
